Nome do Campeonato:	Campeonato Interno Clube Jundiaiense									
Ano:	2018									
JOGOS										
jogo_nro	data	hora	local	time_mandante	gol_mandante	gol_visitante	time_visitante	rodada	fase	grupo
96	09/06/2018	13:45	Campo B	Clássicos	0	6	Lokomotiv	9	Primeira Fase	Série Bronze
97	09/06/2018	13:45	Campo C	Íbis Barcelona	3	0	Rock na Teia	9	Primeira Fase	Série Bronze
98	09/06/2018	13:45	Campo E	Brasil	8	1	Galoucos e Danone	9	Primeira Fase	Série Bronze
99	09/06/2018	15:15	Campo B	Santa Cruz	3	2	Sabadão	9	Primeira Fase	Série Bronze
100	21/07/2018	11:00	Campo B	Náutico	3	3	Tio Dirdo	8	Primeira Fase	Série Diamante
101	21/07/2018	11:00	Campo C	Real	2	4	Bayern	8	Primeira Fase	Série Diamante
102	21/07/2018	11:00	Campo D	Barcelona	0	1	Galaxie 70	8	Primeira Fase	Série Diamante
103	21/07/2018	13:45	Campo D	Galoucos e Danone	2	1	Santa Cruz	10	Primeira Fase	Série Bronze
104	21/07/2018	13:45	Campo E	Fenerbate	1	2	Clássicos	10	Primeira Fase	Série Bronze
105	21/07/2018	15:15	Campo D	Sabadão	2	3	Brasil	10	Primeira Fase	Série Bronze
106	21/07/2018	16:45	Campo C	Lokomotiv	4	4	Rock na Teia	10	Primeira Fase	Série Bronze
107	21/07/2018	13:45	Campo B	Tio Dirdo II	0	2	Tio Dirdo I	8	Primeira Fase	Sério Ouro
108	21/07/2018	15:15	Campo B	Dudinka	2	4	All Blacks	8	Primeira Fase	Sério Ouro
109	21/07/2018	16:45	Campo B	Sinistro	1	2	River Plate	8	Primeira Fase	Sério Ouro
110	21/07/2018	13:45	Campo C	Aurora Cochabamba	5	1	Colo-Colo	8	Primeira Fase	Sério Prata
111	21/07/2018	15:15	Campo C	Tsunami	5	2	Mitos	8	Primeira Fase	Sério Prata
112	21/07/2018	15:15	Campo E	Corinthians	1	0	Celeste	8	Primeira Fase	Sério Prata
113	28/07/2018	11:00	Campo B	Alianza	1	2	Bayern	9	Primeira Fase	Série Diamante
114	28/07/2018	11:00	Campo C	Náutico	2	0	Barcelona	9	Primeira Fase	Série Diamante
115	28/07/2018	11:00	Campo D	Tio Dirdo	5	1	Galaxie 70	9	Primeira Fase	Série Diamante
116	28/07/2018	15:15	Campo C	Fenerbate	2	2	Íbis Barcelona	11	Primeira Fase	Série Bronze
117	28/07/2018	15:15	Campo D	Santa Cruz	7	2	Clássicos	11	Primeira Fase	Série Bronze
118	28/07/2018	15:15	Campo E	Galoucos e Danone	2	1	Lokomotiv	11	Primeira Fase	Série Bronze
119	28/07/2018	16:45	Campo C	Brasil	5	1	Rock na Teia	11	Primeira Fase	Série Bronze
120	28/07/2018	13:45	Campo B	Tsunami	0	0	Corinthians	9	Primeira Fase	Sério Prata
121	28/07/2018	13:45	Campo C	Celeste	3	1	Mitos	9	Primeira Fase	Sério Prata
122	28/07/2018	13:45	Campo E	Everest	3	0	Colo-Colo	9	Primeira Fase	Sério Prata
123	28/07/2018	13:45	Campo D	Dudinka	0	2	Tio Dirdo II	9	Primeira Fase	Sério Ouro
124	28/07/2018	15:15	Campo B	Sinistro	1	1	All Blacks	9	Primeira Fase	Sério Ouro
125	28/07/2018	16:45	Campo B	Tio Dirdo I	3	1	Parathinaikos	9	Primeira Fase	Sério Ouro
126	11/08/2018	11:00	Campo B	Real			Barcelona	10	Primeira Fase	Série Diamante
127	11/08/2018	11:00	Campo C	Bayern			Galaxie 70	10	Primeira Fase	Série Diamante
128	11/08/2018	11:00	Campo D	Alianza			Tio Dirdo	10	Primeira Fase	Série Diamante
129	11/08/2018	13:45	Campo C	Galoucos e Danone			Clássicos	12	Primeira Fase	Série Bronze
130	11/08/2018	15:15	Campo C	Santa Cruz			Fenerbate	12	Primeira Fase	Série Bronze
131	11/08/2018	15:15	Campo E	Brasil			Íbis Barcelona	12	Primeira Fase	Série Bronze
132	11/08/2018	16:45	Campo C	Sabadão			Lokomotiv	12	Primeira Fase	Série Bronze
133	11/08/2018	13:45	Campo B	Dudinka			River Plate	10	Primeira Fase	Sério Ouro
134	11/08/2018	13:45	Campo D	Sinistro			Parathinaikos	10	Primeira Fase	Sério Ouro
135	11/08/2018	15:15	Campo B	Tio Dirdo I			All Blacks	10	Primeira Fase	Sério Ouro
136	11/08/2018	13:45	Campo E	Aurora Cochabamba			Tsunami	10	Primeira Fase	Sério Prata
137	11/08/2018	15:15	Campo D	Everest			Celeste	10	Primeira Fase	Sério Prata
138	11/08/2018	16:45	Campo B	Colo-Colo			Mitos	10	Primeira Fase	Sério Prata
139	18/08/2018	11:00	Campo B	Real			Galaxie 70	11	Primeira Fase	Série Diamante
140	18/08/2018	11:00	Campo C	Alianza			Barcelona	11	Primeira Fase	Série Diamante
141	18/08/2018	11:00	Campo D	Bayern			Náutico	11	Primeira Fase	Série Diamante
142	18/08/2018	13:45	Campo C	Santa Cruz			Lokomotiv	13	Primeira Fase	Série Bronze
143	18/08/2018	15:15	Campo C	Galoucos e Danone			Rock na Teia	13	Primeira Fase	Série Bronze
144	18/08/2018	16:45	Campo B	Íbis Barcelona			Sabadão	13	Primeira Fase	Série Bronze
